WriterID,Category,Sub-Category,QAID,Article Date,WS Name,Word Count,FSN,Introduction,Product Theme,Flow of Article,Explain Features [in simple terms],Practical Application of Features,Neutral Content,USP,Priority of Features,Sentence Construction,Sub-verb agreement,Missing/ additional/ repeated words,Spelling/ Typo,Punctuation,Formatting Errors,Keyword Variation,Keyword Density,Plagiarism,Mismatch in Specs,CFM Quality,GSEO Quality,Overall Quality,Fatals Count,Non Fatals Count,Introduction,Product Theme,Flow of Article,Explain Features [in simple terms],Practical Application of Features,Neutral Content,USP,Priority of Features,Sentence Construction,Sub-verb agreement,Missing/ additional/ repeated words,Spelling/Typo,Punctuation,Formatting Errors,Keyword Variation,Keyword Density,Plagiarism,Mismatch in Specs,AuditCount
61904,Toys,Toy,54660,2015-01-05,Bruder Land Rover Defender with Trailer - CAT and Man,133,VPADM88PGN9GVQHT,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61904,Toys,Toy,54660,2015-01-05,Maisto Hummer H1 4-Door Wagon,114,VPADZ888SHP7CMF3,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61904,Toys,Toy,54660,2015-01-05,Chicco R/C Race Edition,113,VPADVHKBBHB6PY3H,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
61904,Toys,Toy,54660,2015-01-05,Safari Ltd Ws Dinos & Phl Ceratosaurus,141,AFGDQCB2VUKAYGUK,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62182,Books,Books,21031,2015-01-05,World Trade Organization : A Very Short Introduction (English) 01 Edition (Paperback) ,163,9780192806086,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62182,Books,Books,21031,2015-01-05,Dr Ambedkar And Untouchability : Analysing And Fighting Caste  1/e PB (English) 1st Edition (Paperback),247,9788178241562,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62182,Books,Books,21031,2015-01-05,Never Give Up! by Joyce Meyer-English- India-Paperback (English) (Paperback),240,9789350090473,9.375,9.375,9.375,9.375,8.75,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9417,1,0.9563,0,1,NA,NA,NA,NA,Practical application of features not explained effectively ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62182,Books,Books,21031,2015-01-05,THE POWER OF LOVE (ENGLISH) (PAPERBACK),137,9788190796446,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,1.25,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Incorrect formatting,NA,NA,NA,NA,1
62182,Books,Books,21031,2015-01-05,Life and Teachings of Adi Sankaracarya (English) (Paperback) ,144,9788124604076,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62487,Books,Books,21031,2015-01-05,Julius Caesar (English) (Paperback) ,293,9780743482745,9.625,9.625,10,10,10,9.625,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.985,1,0.9888,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62487,Books,Books,21031,2015-01-05,Mills and Boon An Indecent Proposition (February 2012) (English) (Paperback) ,180,9788184747089,9.375,9.625,9.625,9.625,9.625,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9633,1,0.9725,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62487,Books,Books,21031,2015-01-05,Marvel Pocket Books- Silver Surfer: Origins (English) (Paperback),230,9781846530517,9.375,9.625,9.625,9.625,9.625,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9633,1,0.9725,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62487,Books,Books,21031,2015-01-05,SUDOKU 150 PUZZLING PUZZLES - SENIOR LEVEL (English) (Paperback) ,138,9789380078625,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62487,Books,Books,21031,2015-01-05,Universe (English) (Hardcover) ,176,9781409376507,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,RPD,Mobiles & Accessories,75802,2015-01-05,Micromax Canvas 2 Colors A120 with 8 GB ROM,433,MOBDYR2EU5Q2RXHG,10,9.625,9.625,9.625,9.625,10,10,5,5,5,2.5,1.25,2.5,2.5,5,No,No,No,0.98,0.95,0.9725,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 letter wrong,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,GATE: Chemical Engineering Chapterwise Solved Papers (2012-2000) (English) 1st Edition,133,9788183488044,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,History Chapter wise Objective Question Bank with Solution (English),152,9788183488976,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,1.25,2.5,2.5,2.5,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing word,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Together with Hindi Kendrik Class XII,105,9788187414506,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,2.5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,0.9,0.9375,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Verb does not agree with subject,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,A Textbook of Organic Chemistry for All Engineering Entrance Examinations (English) 01 Edition,154,9788188222087,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,New Pattern AIEEE Mathematics (English) 1st Edition,145,9788188222346,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Textbook of Elements of Mechanical Engineering (English) 3rd Edition,92,9788188237791,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Effectual Communication Skills (English),162,9788189757823,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Software Testing (English) 3rd Edition,175,9788189757908,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Oswaal CBSE CCE Pullout Worksheets for Term 2 Class 10 Science (English) 1st Edition,162,9789351271963,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Numerical Methods (English) 3rd Edition,234,9788121914383,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,The Official Olympiad's Book of Reasoning - Class 9 (English),103,9789383909742,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Welding Processes and Technology (English) 2nd Edition,122,9788174091260,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,A SCIENTIFIC CLINICAL RESEARCH IN VETERINARY HOMEOPATHY (English),97,9788131910177,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,Anatomy (English) 1st Edition,111,9788131222195,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
62509,Books,Books,54660,2015-01-05,MTG National Science Olympiad (NSO) Workbook (Class 1) (English),109,9789383909322,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
72891,RPD,Mobiles & Accessories,75802,2015-01-05,Samsung Galaxy Note Edge,691,MOBE37AN5QKAAW7C,9.375,9.625,9.375,9.375,9.625,8.75,10,5,5,5,2.5,1.25,2.5,2.5,5,No,No,No,0.9483,0.95,0.9488,0,2,NA,NA,NA,NA,NA,Promotional/marketing language,NA,NA,NA,NA,NA,1 letter wrong,NA,NA,NA,NA,NA,NA,1
73957,Toys,Toy,76749,2015-01-05,Maisto Porsche Cayenne Model Car(Black),98,VPAEYYX8RY4RTNG8,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,1.25,2.5,2.5,2.5,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing word,NA,NA,NA,NA,NA,NA,NA,1
73957,Toys,Toy,76749,2015-01-05,Maisto Harley - Davidson 2013 FLHTK Electra Glide Ultra Limited(Red),97,VPADVGGAP7ZCUHDY,9.375,9.375,9.375,9.625,9.625,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9567,1,0.9675,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
73957,Toys,Toy,76749,2015-01-05,"Academy IL-2 Stormovik ""Ski Equipped Version""(White)",103,VPAE2GZ65GZTYHPG,9.625,9.625,9.625,9.625,9.625,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.9667,1,0.975,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
73957,Toys,Toy,76749,2015-01-05,Maisto Kawasaki Ninja ZX-6R Bike Assembly Kit(Blue),103,VPADQQPCYSJZUAKH,9.625,9.375,9.375,9.625,9.625,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.96,1,0.97,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
73957,Toys,Toy,76749,2015-01-05,Maisto Hummer H1 4-Door Wagon(Black),113,VPADZ888SHP7CMF3,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,1.25,2.5,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing punctuation,NA,NA,NA,NA,NA,1
73957,Toys,Toy,76749,2015-01-05,Maisto Benelli TNT Titanium Bike Assembly Kit(Silver),105,VPADQQPCFYE6RFJU,9.625,9.625,9.625,9.625,9.625,9.625,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.97,1,0.9775,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
73957,Toys,Toy,76749,2015-01-05,Maisto Ducati Monster 696(Red),102,VPADK25BC2GZHHF8,8.75,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,1.25,2.5,5,No,No,No,0.9417,0.95,0.9438,0,2,Not engaging ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing punctuation,NA,NA,NA,NA,NA,1
74565,Toys,Toy,76749,2015-01-05,Safari Ltd Horned Chinese Dragon(Multicolor),103,AFGDVHPTN4AXGFNK,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,2.5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,0.9,0.9375,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Verb does not agree with subject,NA,NA,NA,NA,NA,NA,NA,NA,1
74565,Toys,Toy,76749,2015-01-05,Bruder Massey Ferguson 7480 with Tipping Trailer,101,VPADM88PCHZRZMMZ,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
74565,Toys,Toy,76749,2015-01-05,Chicco Turbo Touch Farmer,90,VPADDB7KMEDPNJXY,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
74565,Toys,Toy,76749,2015-01-05,Lego Legends Of Chima 1 starter set(Multicolor),90,BLCDVPB7QDZGFYEJ,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
74565,Toys,Toy,76749,2015-01-05,Bruder Manitou Telescopic Loader MLT 633(Red),95,VPADAXZ6CJBKHFZG,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
74565,Toys,Toy,76749,2015-01-05,Bruder Cat Revenge of Toy 02452(Yellow),68,VPADTEW6WABGF8QQ,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,2.5,2.5,2.5,2.5,5,No,No,No,0.95,1,0.9625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
74565,Toys,Toy,76749,2015-01-05,Bruder CAT Skid Steer Loader(Yellow),63,VPADAXZ6D8NBNUUZ,9.375,9.375,9.375,9.375,9.375,9.375,10,5,5,5,1.25,2.5,2.5,2.5,5,No,No,No,0.95,0.95,0.95,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Missing word,NA,NA,NA,NA,NA,NA,NA,1
74839,Toys,Toy,21031,2015-01-05,Safari Ltd So Camouflage Luminocular (Multicolor),118,AFGDQGXDWSYMEVJN,9.375,9.375,9.625,9.625,9.625,9.375,10,5,5,5,2.5,2.5,2.5,1.25,5,No,No,No,0.96,0.95,0.9575,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Incorrect formatting,NA,NA,NA,NA,1
