BU,Super Category,Category,SubCategory,Vertical,Source,Description Type,Revision Date,Target
HomeAndFurniture,HomeFurnishing,HomeFurnishing,Living,LivingPillow,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeFurnishing,HomeFurnishing,Living,LivingTableCover,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,MeasuringAndLayoutTool,MeasuringAndLayoutTool,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,MeasuringAndLayoutTool,MeasuringAndLayoutTool,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,PaintEquipmentAndSupply,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,WallPaintBrush,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,PaintRoller,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,PaintSprayer,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,PaintEquipmentAndSupply,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,WallPaintBrush,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,PaintRoller,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PaintEquipmentAndSupply,PaintSprayer,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,OtherPotAndPan,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,Handi,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,Pot,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,PanAndTawa,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,WokAndKadhai,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,PotAndPanRoaster,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,OtherPotAndPan,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,Handi,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,Pot,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,PanAndTawa,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,WokAndKadhai,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PotAndPan,PotAndPanRoaster,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerTool,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,HammerDrill,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerDrill,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,RotaryTool,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Nailer,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Stapler,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Sander,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Polisher,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,SanderPolisher,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerAndHandToolKit,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerPlane,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,ScrewGun,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,SolderingIron,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,ImpactWrench,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Blower,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerTool,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,HammerDrill,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerDrill,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,RotaryTool,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Nailer,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Stapler,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Sander,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Polisher,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,SanderPolisher,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerAndHandToolKit,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,PowerPlane,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,ScrewGun,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,SolderingIron,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,ImpactWrench,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeImprovementTool,HomeImprovementTool,PowerTool,Blower,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PressureCookerAndPan,OtherPressureCookerAndPan,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PressureCookerAndPan,PressureCooker,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PressureCookerAndPan,PressurePan,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PressureCookerAndPan,OtherPressureCookerAndPan,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PressureCookerAndPan,PressureCooker,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HouseHold,HouseHold,PressureCookerAndPan,PressurePan,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,OtherSpiritualAndFestiveDecor,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,PoojaThaliSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Chowki,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Kalash,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Shankh,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,GodIdol,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Diya,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,HomeTemple,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Bell,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Yantra,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Rakhi,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,PrayerMat,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,CottonWick,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Garland,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Dhoop,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,RangoliPowder,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Envelope,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,PrayerKit,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,DandiaStick,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,HavanItem,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Toran,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,OtherSpiritualAndFestiveDecor,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,PoojaThaliSet,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Chowki,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Kalash,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Shankh,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,GodIdol,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Diya,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,HomeTemple,Crowdsourced,SEO Project,2015-01-01,3
HomeAndFurniture,HomeDecor,HomeDecor,SpiritualAndFestiveDecor,Bell,Crowdsourced,SEO Project,2015-01-01,3
