,Actioned Date,Assigned Date,Status
198,5/14/2015,5/8/2015,CLOSED
199,5/14/2015,5/8/2015,CLOSED
200,5/14/2015,5/8/2015,CLOSED
201,5/14/2015,5/8/2015,CLOSED
202,5/14/2015,5/8/2015,CLOSED
203,5/14/2015,5/8/2015,CLOSED
204,5/12/2015,5/8/2015,PENDING WITH SELLER
205,5/12/2015,5/8/2015,PENDING WITH SELLER
206,5/12/2015,5/8/2015,PENDING WITH SELLER
207,5/12/2015,5/8/2015,PENDING WITH SELLER
208,5/12/2015,5/8/2015,PENDING WITH SELLER
209,5/12/2015,5/8/2015,PENDING WITH SELLER
210,5/20/2015,5/8/2015,CLOSED
211,5/20/2015,5/8/2015,CLOSED
212,5/20/2015,5/8/2015,CLOSED
213,5/20/2015,5/8/2015,CLOSED
214,5/25/2015,5/11/2015,CLOSED
215,5/20/2015,5/11/2015,CLOSED
216,5/20/2015,5/11/2015,CLOSED
217,5/20/2015,5/11/2015,CLOSED
218,5/25/2015,5/11/2015,CLOSED
219,5/14/2015,5/11/2015,PENDING WITH SELLER
220,5/12/2015,5/11/2015,PENDING WITH SELLER
221,5/20/2015,5/11/2015,CLOSED
222,5/12/2015,5/11/2015,PENDING WITH SELLER
223,5/12/2015,5/12/2015,PENDING WITH SELLER
224,6/3/2015,5/12/2015,CLOSED
225,5/20/2015,5/12/2015,CLOSED
226,5/18/2015,5/12/2015,CLOSED
227,5/25/2015,5/12/2015,CLOSED
228,5/22/2015,5/12/2015,CLOSED
229,5/25/2015,5/12/2015,CLOSED
230,5/13/2015,5/12/2015,PENDING WITH SELLER
231,5/25/2015,5/12/2015,CLOSED
232,5/13/2015,5/13/2015,PENDING WITH BD
233,5/25/2015,5/13/2015,CLOSED
234,5/14/2015,5/13/2015,PENDING WITH SELLER
235,5/14/2015,5/13/2015,PENDING WITH SELLER
236,5/15/2015,5/13/2015,CLOSED
237,5/20/2015,5/13/2015,CLOSED
238,5/14/2015,5/14/2015,PENDING WITH SELLER
239,5/15/2015,5/14/2015,PENDING WITH SELLER
240,5/15/2015,5/14/2015,PENDING WITH SELLER
241,5/20/2015,5/14/2015,CLOSED
242,5/15/2015,5/14/2015,PENDING WITH SELLER
243,5/15/2015,5/14/2015,PENDING WITH SELLER
244,5/15/2015,5/14/2015,PENDING WITH BD
245,5/15/2015,5/14/2015,PENDING WITH SELLER
246,5/15/2015,5/14/2015,PENDING WITH SELLER
247,5/15/2015,5/14/2015,PENDING WITH SELLER
248,5/15/2015,5/14/2015,PENDING WITH SELLER
249,5/22/2015,5/14/2015,CLOSED
250,5/25/2015,5/14/2015,CLOSED
251,5/15/2015,5/14/2015,PENDING WITH SELLER
252,5/15/2015,5/14/2015,PENDING WITH SELLER
253,5/15/2015,5/14/2015,PENDING WITH SELLER
254,5/15/2015,5/15/2015,PENDING WITH SELLER
255,5/15/2015,5/15/2015,PENDING WITH SELLER
256,5/15/2015,5/15/2015,PENDING WITH SELLER
257,5/15/2015,5/15/2015,PENDING WITH SELLER
258,5/15/2015,5/15/2015,PENDING WITH SELLER
259,5/15/2015,5/15/2015,PENDING WITH SELLER
260,5/15/2015,5/15/2015,PENDING WITH SELLER
261,5/18/2015,5/15/2015,PENDING WITH SELLER
262,5/18/2015,5/18/2015,CLOSED
263,6/8/2015,5/18/2015,CLOSED
264,5/20/2015,5/18/2015,CLOSED
265,5/25/2015,5/18/2015,CLOSED
266,5/18/2015,5/18/2015,PENDING WITH BD
267,5/20/2015,5/18/2015,CLOSED
268,5/20/2015,5/18/2015,CLOSED
269,5/19/2015,5/18/2015,PENDING WITH SELLER
270,5/19/2015,5/18/2015,PENDING WITH SELLER
271,5/19/2015,5/18/2015,PENDING WITH BD
272,5/22/2015,5/18/2015,CLOSED
273,5/19/2015,5/18/2015,PENDING WITH SELLER
274,5/20/2015,5/18/2015,CLOSED
275,5/19/2015,5/18/2015,CLOSED
276,5/19/2015,5/18/2015,PENDING WITH SELLER
277,5/20/2015,5/18/2015,CLOSED
278,5/19/2015,5/18/2015,CLOSED
279,5/19/2015,5/18/2015,CLOSED
280,5/21/2015,5/18/2015,PENDING WITH SELLER
281,5/19/2015,5/18/2015,PENDING WITH SELLER
282,5/19/2015,5/18/2015,CLOSED
283,5/19/2015,5/18/2015,PENDING WITH SELLER
284,5/19/2015,5/18/2015,PENDING WITH SELLER
285,5/19/2015,5/18/2015,PENDING WITH SELLER
286,5/21/2015,5/18/2015,CLOSED
287,5/25/2015,5/18/2015,CLOSED
288,5/19/2015,5/18/2015,PENDING WITH BD
289,5/21/2015,5/18/2015,CLOSED
290,5/26/2015,5/19/2015,CLOSED
291,5/19/2015,5/19/2015,PENDING WITH SELLER
292,5/21/2015,5/19/2015,CLOSED
293,5/21/2015,5/19/2015,CLOSED
294,5/19/2015,5/19/2015,PENDING WITH SELLER
295,5/22/2015,5/19/2015,CLOSED
296,5/20/2015,5/19/2015,PENDING WITH SELLER
297,5/20/2015,5/19/2015,CLOSED
298,5/20/2015,5/19/2015,PENDING WITH SELLER
299,5/20/2015,5/20/2015,PENDING WITH SELLER
300,5/20/2015,5/20/2015,PENDING WITH BD
301,5/20/2015,5/20/2015,PENDING WITH SELLER
302,5/20/2015,5/20/2015,PENDING WITH SELLER
303,5/20/2015,5/20/2015,CLOSED
304,5/20/2015,5/20/2015,PENDING WITH SELLER
305,5/21/2015,5/20/2015,CLOSED
306,5/20/2015,5/20/2015,CLOSED
307,5/20/2015,5/20/2015,CLOSED
308,5/20/2015,5/20/2015,CLOSED
309,5/22/2015,5/20/2015,CLOSED
310,5/22/2015,5/20/2015,CLOSED
311,6/3/2015,5/21/2015,CLOSED
312,5/25/2015,5/21/2015,CLOSED
313,5/22/2015,5/21/2015,CLOSED
314,5/25/2015,5/21/2015,CLOSED
315,5/25/2015,5/21/2015,CLOSED
316,5/21/2015,5/21/2015,PENDING WITH SELLER
317,5/25/2015,5/21/2015,CLOSED
318,6/3/2015,5/21/2015,CLOSED
319,5/25/2015,5/21/2015,CLOSED
320,5/22/2015,5/21/2015,CLOSED
321,5/22/2015,5/21/2015,PENDING WITH SELLER
322,5/22/2015,5/21/2015,PENDING WITH SELLER
323,5/22/2015,5/22/2015,CLOSED
324,5/22/2015,5/22/2015,PENDING WITH SELLER
325,5/25/2015,5/22/2015,CLOSED
326,5/22/2015,5/22/2015,PENDING WITH SELLER
327,6/3/2015,5/22/2015,CLOSED
328,5/26/2015,5/22/2015,CLOSED
329,5/26/2015,5/22/2015,CLOSED
330,5/22/2015,5/22/2015,CLOSED
331,5/26/2015,5/25/2015,PENDING WITH SELLER
332,5/26/2015,5/22/2015,PENDING WITH SELLER
333,5/27/2015,5/25/2015,CLOSED
334,5/26/2015,5/25/2015,PENDING WITH SELLER
335,5/26/2015,5/25/2015,PENDING WITH CATALOGUE ISSUE
336,5/26/2015,5/25/2015,PENDING WITH SELLER
337,5/26/2015,5/25/2015,PENDING WITH SELLER
338,5/26/2015,5/25/2015,PENDING WITH SELLER
339,5/26/2015,5/25/2015,PENDING WITH CATALOGUE ISSUE
340,5/26/2015,5/25/2015,PENDING WITH SELLER
341,6/3/2015,5/25/2015,CLOSED
342,5/27/2015,5/25/2015,CLOSED
343,5/27/2015,5/25/2015,CLOSED
344,5/26/2015,5/25/2015,PENDING WITH SELLER
345,5/26/2015,5/25/2015,CLOSED
346,5/26/2015,5/26/2015,CLOSED
347,5/26/2015,5/26/2015,PENDING WITH SELLER
348,5/26/2015,5/26/2015,PENDING WITH SELLER
349,5/26/2015,5/26/2015,PENDING WITH SELLER
350,5/26/2015,5/26/2015,PENDING WITH SELLER
351,5/26/2015,5/26/2015,PENDING WITH SELLER
352,5/26/2015,5/26/2015,PENDING WITH CATALOGUE ISSUE
353,5/26/2015,5/26/2015,PENDING WITH SELLER
354,5/26/2015,5/26/2015,PENDING WITH CATALOGUE ISSUE
355,5/26/2015,5/25/2015,PENDING WITH SELLER
356,5/27/2015,5/26/2015,PENDING WITH SELLER
357,5/27/2015,5/27/2015,CLOSED
358,6/3/2015,5/27/2015,CLOSED
359,5/27/2015,5/27/2015,PENDING WITH SELLER
360,5/27/2015,5/26/2015,PENDING WITH SELLER
361,5/27/2015,5/27/2015,PENDING WITH SELLER
362,5/27/2015,5/27/2015,PENDING WITH SELLER
363,6/3/2015,5/27/2015,CLOSED
364,5/27/2015,5/27/2015,CLOSED
365,5/27/2015,5/27/2015,PENDING WITH BD
366,6/1/2015,5/27/2015,CLOSED
367,5/27/2015,5/27/2015,PENDING WITH SELLER
368,5/27/2015,5/27/2015,PENDING WITH SELLER
369,5/27/2015,5/27/2015,PENDING WITH SELLER
370,5/27/2015,5/27/2015,PENDING WITH SELLER
371,5/27/2015,5/26/2015,PENDING WITH SELLER
372,5/27/2015,5/27/2015,PENDING WITH SELLER
373,5/27/2015,5/27/2015,PENDING WITH SELLER
374,5/27/2015,5/27/2015,PENDING WITH SELLER
375,6/8/2015,5/27/2015,CLOSED
376,5/29/2015,5/27/2015,PENDING WITH SELLER
377,5/29/2015,5/27/2015,PENDING WITH SELLER
378,6/8/2015,5/27/2015,PENDING WITH SELLER
379,5/29/2015,5/28/2015,PENDING WITH SELLER
380,5/29/2015,5/28/2015,PENDING WITH SELLER
381,6/1/2015,5/28/2015,PENDING WITH BD
382,5/29/2015,5/28/2015,PENDING WITH SELLER
383,5/29/2015,5/28/2015,PENDING WITH SELLER
384,5/29/2015,5/28/2015,PENDING WITH SELLER
385,6/1/2015,5/28/2015,CLOSED
386,6/1/2015,5/28/2015,CLOSED
387,5/29/2015,5/28/2015,PENDING WITH SELLER
388,5/29/2015,5/28/2015,PENDING WITH SELLER
389,5/29/2015,5/28/2015,CLOSED
390,5/29/2015,5/28/2015,PENDING WITH SELLER
391,5/29/2015,5/28/2015,PENDING WITH SELLER
392,5/29/2015,5/28/2015,PENDING WITH SELLER
393,5/29/2015,5/28/2015,PENDING WITH SELLER
394,5/29/2015,5/28/2015,PENDING WITH SELLER
395,5/29/2015,5/28/2015,PENDING WITH SELLER
396,5/29/2015,5/28/2015,PENDING WITH SELLER
397,5/29/2015,5/29/2015,PENDING WITH SELLER
398,5/29/2015,5/27/2015,PENDING WITH SELLER
399,5/29/2015,5/28/2015,CLOSED
400,6/1/2015,5/28/2015,CLOSED
401,5/29/2015,5/29/2015,PENDING WITH SELLER
402,5/29/2015,5/29/2015,PENDING WITH SELLER
403,6/1/2015,5/29/2015,CLOSED
404,6/3/2015,5/29/2015,CLOSED
405,5/29/2015,5/29/2015,PENDING WITH BD
406,5/29/2015,5/29/2015,PENDING WITH SELLER
407,5/29/2015,5/29/2015,PENDING WITH SELLER
408,6/1/2015,5/29/2015,CLOSED
409,5/29/2015,5/29/2015,PENDING WITH BD
410,6/1/2015,5/29/2015,CLOSED
411,5/29/2015,5/29/2015,CLOSED
412,5/29/2015,5/29/2015,CLOSED
413,6/1/2015,5/29/2015,PENDING WITH SELLER
414,6/1/2015,5/29/2015,PENDING WITH SELLER
415,6/1/2015,5/29/2015,CLOSED
416,6/1/2015,5/29/2015,CLOSED
417,6/1/2015,6/1/2015,PENDING WITH SELLER
418,6/1/2015,6/1/2015,PENDING WITH BD
419,6/1/2015,6/1/2015,CLOSED
420,6/1/2015,6/1/2015,PENDING WITH BD
421,6/1/2015,6/1/2015,PENDING WITH BD
422,6/1/2015,6/1/2015,CLOSED
423,6/1/2015,6/1/2015,PENDING WITH SELLER
424,6/1/2015,6/1/2015,PENDING WITH BD
425,6/1/2015,6/1/2015,CLOSED
426,6/1/2015,6/1/2015,CLOSED
427,6/1/2015,6/1/2015,CLOSED
428,6/3/2015,6/1/2015,CLOSED
429,6/3/2015,6/1/2015,CLOSED
430,6/2/2015,6/1/2015,CLOSED
431,6/3/2015,6/2/2015,CLOSED
432,6/2/2015,6/2/2015,CLOSED
433,6/3/2015,6/2/2015,CLOSED
434,6/3/2015,6/2/2015,CLOSED
435,6/3/2015,6/2/2015,CLOSED
436,6/3/2015,6/2/2015,CLOSED
437,6/3/2015,6/2/2015,CLOSED
438,6/3/2015,6/3/2015,CLOSED
439,6/3/2015,6/3/2015,CLOSED
440,6/3/2015,6/3/2015,CLOSED
441,6/3/2015,6/3/2015,CLOSED
442,6/3/2015,6/3/2015,CLOSED
443,6/3/2015,6/3/2015,CLOSED
444,6/3/2015,6/3/2015,CLOSED
445,6/3/2015,6/3/2015,CLOSED
446,6/8/2015,6/3/2015,PENDING WITH BD
447,6/8/2015,6/4/2015,CLOSED
448,6/8/2015,6/3/2015,CLOSED
449,6/8/2015,6/3/2015,CLOSED
450,6/8/2015,6/4/2015,CLOSED
451,6/8/2015,6/4/2015,PENDING WITH BD
452,6/8/2015,6/4/2015,PENDING WITH BD
453,6/8/2015,6/5/2015,PENDING WITH BD
454,6/8/2015,6/5/2015,CLOSED
455,6/8/2015,6/5/2015,CLOSED
456,6/8/2015,6/5/2015,CLOSED
457,6/8/2015,6/5/2015,CLOSED
458,6/8/2015,6/5/2015,CLOSED
459,6/8/2015,6/5/2015,CLOSED
460,6/8/2015,6/5/2015,PENDING WITH BD
461,6/8/2015,6/5/2015,CLOSED
462,6/8/2015,6/5/2015,CLOSED
463,6/8/2015,6/5/2015,CLOSED
464,6/8/2015,6/5/2015,CLOSED
465,6/8/2015,6/5/2015,CLOSED
466,6/8/2015,6/8/2015,PENDING WITH BD
467,6/8/2015,6/8/2015,CLOSED
468,6/8/2015,6/8/2015,PENDING WITH BD
469,6/8/2015,6/8/2015,CLOSED
