Class,Sub-Class,Type,Definition,Severity,Rating,Value
"Grammar, Formatting & SEO",Grammar & Formatting,Sentence Construction,"""Sentence Construction is the way a sentence is arranged, grammatically. The sentence structure of your writing includes where the noun and verb fall within an individual sentence. Sentence structure depends on the language in which you're writing or speaking.""",Non Fatal,0,5
"Grammar, Formatting & SEO",Grammar & Formatting,Sentence Construction,"""Sentence Construction is the way a sentence is arranged, grammatically. The sentence structure of your writing includes where the noun and verb fall within an individual sentence. Sentence structure depends on the language in which you're writing or speaking.""",Non Fatal,1,2.5
"Grammar, Formatting & SEO",Grammar & Formatting,Sentence Construction,"""Sentence Construction is the way a sentence is arranged, grammatically. The sentence structure of your writing includes where the noun and verb fall within an individual sentence. Sentence structure depends on the language in which you're writing or speaking.""",Non Fatal,>1,0
"Grammar, Formatting & SEO",Grammar & Formatting,Sub-verb agreement,"""Subjects and verbs must AGREE with one another in number (singular or plural). Thus, if a subject is singular, its verb must also be singular; if a subject is plural, its verb must also be plural.""",Non Fatal,0,5
"Grammar, Formatting & SEO",Grammar & Formatting,Sub-verb agreement,"""Subjects and verbs must AGREE with one another in number (singular or plural). Thus, if a subject is singular, its verb must also be singular; if a subject is plural, its verb must also be plural.""",Non Fatal,1,2.5
"Grammar, Formatting & SEO",Grammar & Formatting,Sub-verb agreement,"""Subjects and verbs must AGREE with one another in number (singular or plural). Thus, if a subject is singular, its verb must also be singular; if a subject is plural, its verb must also be plural.""",Non Fatal,>1,0
"Grammar, Formatting & SEO",Grammar & Formatting,Missing/additional/repeated words,"""NA""",Non Fatal,0,2.5
"Grammar, Formatting & SEO",Grammar & Formatting,Missing/additional/repeated words,"""NA""",Non Fatal,1,1.25
"Grammar, Formatting & SEO",Grammar & Formatting,Missing/additional/repeated words,"""NA""",Non Fatal,>1,0
"Grammar, Formatting & SEO",Grammar & Formatting,Spelling/Typo,"""NA""",Non Fatal,0,2.5
"Grammar, Formatting & SEO",Grammar & Formatting,Spelling/Typo,"""NA""",Non Fatal,1,1.25
"Grammar, Formatting & SEO",Grammar & Formatting,Spelling/Typo,"""NA""",Non Fatal,>1,0
"Grammar, Formatting & SEO",Grammar & Formatting,Punctuation,"""1] The marks, such as full stop, comma, and brackets, used in writing to separate sentences and their elements and to clarify meaning:
Example: 
[*] 'you will notice that no punctuation is used'
[*] 'satisfactory standards of handwriting, spelling, grammar, and punctuation.'
2] Marks of punctuation include ampersands, apostrophes, asterisks, brackets, bullets, colons, commas, dashes, diacritic marks, ellipsis, exclamation points, hyphens, paragraph breaks, parentheses, periods, question marks, quotation marks, semicolons, slashes, spacing, and strike-throughs.""",Non Fatal,0,2.5
"Grammar, Formatting & SEO",Grammar & Formatting,Punctuation,"""1] The marks, such as full stop, comma, and brackets, used in writing to separate sentences and their elements and to clarify meaning:
Example: 
[*] 'you will notice that no punctuation is used'
[*] 'satisfactory standards of handwriting, spelling, grammar, and punctuation.'
2] Marks of punctuation include ampersands, apostrophes, asterisks, brackets, bullets, colons, commas, dashes, diacritic marks, ellipsis, exclamation points, hyphens, paragraph breaks, parentheses, periods, question marks, quotation marks, semicolons, slashes, spacing, and strike-throughs.""",Non Fatal,1,1.25
"Grammar, Formatting & SEO",Grammar & Formatting,Punctuation,"""1] The marks, such as full stop, comma, and brackets, used in writing to separate sentences and their elements and to clarify meaning:
Example: 
[*] 'you will notice that no punctuation is used'
[*] 'satisfactory standards of handwriting, spelling, grammar, and punctuation.'
2] Marks of punctuation include ampersands, apostrophes, asterisks, brackets, bullets, colons, commas, dashes, diacritic marks, ellipsis, exclamation points, hyphens, paragraph breaks, parentheses, periods, question marks, quotation marks, semicolons, slashes, spacing, and strike-throughs.""",Non Fatal,>1,0
"Grammar, Formatting & SEO",Grammar & Formatting,Formatting Errors,"""Bolding, Italics, Spacing""",Non Fatal,0,2.5
"Grammar, Formatting & SEO",Grammar & Formatting,Formatting Errors,"""Bolding, Italics, Spacing""",Non Fatal,1,1.25
"Grammar, Formatting & SEO",Grammar & Formatting,Formatting Errors,"""Bolding, Italics, Spacing""",Non Fatal,>1,0
"Grammar, Formatting & SEO",SEO,Keyword Variation,"""Variations in Keywords (eg: smartphone, android phone, mobile)""",Non Fatal,ME,5
"Grammar, Formatting & SEO",SEO,Keyword Variation,"""Variations in Keywords (eg: smartphone, android phone, mobile)""",Non Fatal,BE,0
Process Compliance,Fatals,Keyword Density,"""Use Google adwords to frame sentences that will help generate more traffic and that we are within the expected threshold""",Fatal,ME,0
Process Compliance,Fatals,Keyword Density,"""Use Google adwords to frame sentences that will help generate more traffic and that we are within the expected threshold""",Fatal,BE,0
Process Compliance,Fatals,Plagiarism,"""Copying sentences directly from other and internal web pages - Must Have Original Content""",Fatal,ME,0
Process Compliance,Fatals,Plagiarism,"""Copying sentences directly from other and internal web pages - Must Have Original Content""",Fatal,BE,0
Process Compliance,Fatals,Mismatch in Specs,"""Mismatch of Specs with Flipkart & Brand Site""",Fatal,ME,0
Process Compliance,Fatals,Mismatch in Specs,"""Mismatch of Specs with Flipkart & Brand Site""",Fatal,BE,0
